연간 예산	annual budget
그전	Former days or the past
건넌방	The room opposite the main living room
한순간	One fleeting moment
한밤중	Midnight
농민	A farmer
생산	) production )birth
대책	Countermeasure
건설	Construction
삼국	Three countries
요구	A demand, claim, request
경향	Tendency or trend
개방	Open or throw open
물체	A material body
개선	Renovation or improvement or betterment
소속	Belong to, attached to
여건	A postulate, a given condition
관념	An idea or notion
세계관	A worldview
경쟁력	Competitiveness
남부	The south part
화학	Chemistry
하천	A river, watercourse
통증	An ache, pain
진행	Progress, advance
별도	A separate way
지식인	An intellectual
일행	A party, a troupe; a row, a line
희곡	A drama, a play
심정	one's heart, one's feelings
공식	A formula or formality
출연	Going on stage
증가	An increase,augmentation
객관적	Objective
표면	Front, surface, exterior
전개	unfolding,development,expansion
비중	Specific gravity
후기	The latter term/period
정치권	Political rights
구분	A division or section
지속적	Continuous
업종	Types of industry
국제화	Internationalization
성명	A declaration,statement
논쟁	Controversy, argument
메우다	To carry,attach;put on
고전	A classic in literature
흔적	traces,signs,evidences
좌우	Left and right
사설	An editorial
홍보	Public information, public relations
창조	Creation
정치인	Politician
생산력	Productive capacity
본성	Original nature or character
특수	characteristic,distinct,unique
중반	At the middle stage (of a game or contest, or otherwise)
자판	Keyboard
성질	nature,disposition
근원	The origin or root or source
총리	General overseeing, presiding over
액수	A sum, an amount
소유자	Possessor
초원	A plain, a prairie
증권사	Securities corporation
해당	Come/fall under the purview of
중부	The center, middle part
양국	Both countries
소음	A noise,cacophony
비율	ratio,percentage
추가	An addition
정성	True heart,devotion
실태	The actual conditions,reality
지출	Expenses, expenditure
명칭	A name,title
매장	A store, shop
대합실	A waiting room
창조적	Creatively
자율	self-control,autonomy
실습	Actual training,practice
향상	Improve; elevation,rise
완전	Perfection, completeness
완성	completion,accomplishment
예방	Prevention, protection
나침반	A compass
통계	Statistics
학부모	Mothers of the students
보장	guarantee,security
방지	Prevention, check
학용품	School things, supplies
필수적	necessary,indispensable
댐	Dam
전반적	over-all,all
장식	Decoration
상당	proper,fit,suitable
북부	The north part
부품	Parts, accessories
허가	Permission, grant, leave
학번	Year of graduation
초반	The opening part (of a game of baduk)
제의	A proposal,an offer
정기	A fixed time period
일반인	Of the general public
심사	judgment,examination
명의	name,title
실현	realization,materialization
이상적	Abnormal
부회장	A vice president
근로	Labor or exertion
일자	A date, the number of days
대다수	A large majority
실질적	substantial,essential
순수	purity,genuineness
불행	Unhappiness
부분적	Departmental
다행	Good luck
면적	area,dimensions
국산	A country's product
가상	Imagination
전용	Exclusive or private use
연간	For a year
소수	A small number, a few
서민	Common people
사무소	Office
도덕	Immorality
해군	The navy
학급	A class (school)
축소	Reduction, a cutback
창작	Creation, origination
정보화	Change to an information orientation
일생	one's lifetime
유적	Remains, relics,ruins
죄인	A criminal
음식물	Anything to eat or drink
선진	seniority,advance
생산자	A producer
단편	A piece, fragment
거액	A large sum of money
활용	Practical use
탄생	Birth
공군	The air force
진급	Promotion
제안	A proposal,suggestion
이자	Interest
이사장	A director
심판	referencing,umpire-ship
신념	belief,faith
승부	A contest,match
수면	sleep,slumber
불편	Inconvenience
보조	assistance,aid
국왕	A king or a monarch
인간관계	Human relations
한문	Chinese writing, chinese classics
파출소	Small, local police box
인간적	Personal
학술	Science, learning, scholarship
전반	The whole, all, general
냉동	Refrigeration
극복	Conquest or subjugation
신인	A new man
노선	Route
간격	A space or interval
혜택	A favor, benefit
해소	Dissolution, disorganization
통로	A passage, a way, an aisle
참가	participation,joining
실장	boss,president
본인	Person in question
보전	integrity,preservation
기독교	Christianity
공식적	Formal or procedural
친정	A woman's maiden home and family
가입	Entrance
참조	reference,comparison
연결	Connection, linking
작성	editing,composition
교체	Shift or change or alternate
결과적	Resultative
가입자	Member or subscriber
예비	Preparation, reserve
연령	Age, years of age
시도	An attempt,test
순식간	A brief instant
소용	use,usefulness
소극적	Passivity,passiveness
본부	The headquarters
구별	A distinction or a separation
갈증	Thirst
간섭	Interfere or meddle
풍속	Manners, customs, morals
출판사	A publishing company
집중적	Related to the concentration
중심지	A central place
재생	revival,restoration to life
일치	Agreement, accord
열기	Heat, hot air
상관	Concern, relation
보존	Preservation
입대	Enlistment, enrollment
민속	Folk-customs
필연적	Necessity, necessary
철학자	Philosopher
전달	Delivery
교직	The teaching profession
간접	Indirectness
총각	A bachelor, an unmarried man
집단적	Collectively (of people)
연구원	Researcher
신세대	The new generation
수험생	A student preparing for an examination
서적	books,publications
적성	Aptitude
근래	Of late or recently
공연장	Auditorium
회관	An assembly hall
제시	Presentation
시야	Visual field
소규모	Small scale
성공적	Successfully
상류	The upper classes,upstream
치아	A tooth
충격적	Shocking
질적	Qualitative
정상적	normal,like usual
일상적	Daily, of the everyday things
위성	A satellite
도심	The heart of the city
경제력	Economic power
흑백	Black and white
해설	Explanation, elucidation
폐지	Abolition, to not use, to do away with
방송사	Broadcasting company
문화적	Cultural
묘사	Description
만족	Satisfaction
토론회	A debating society/contest
최후	The last, the end, the conclusion
형식적	Related to the form
포함	inclusion,comprehension
중년	Middle-aged
주한	Residing in korea
전시	exhibition,display
인간성	Human nature
운행	movement,revolution
손실	Loss
상당수	plenty/a lot of
사춘기	adolescence,puberty
사상	In history
보관	custody,deposit
구입	Purchase or buying
감소	Decrease or diminution
신설	A new theory
신비	Mystery
수집	Collection
개개인	Individuals or every person
직선	A straight line
종소리	The sound of a bell
선원	A crew, a ship's company
부상	A wound,injury
보자기	A diver
대접	Treatment
장기적	Long-term
임신부	An expectant mother
의도적	Purposefully
흥분	excitement, agitation
해답	A solution to a problem, an answer to a question
모집	Collection
조절	regulation,adjustment
정신과	Psychiatry
은행나무	A ginkgo tree
예선	A preliminary match/election
연장	Extension, prolongation
피디	PD - a newspaper article
여군	A woman soldier
기성0	To be already existing or established
국내외	The inside and outside of a country or home and abroad
강수량	How much rainfall
활기	Vigor, life, vitality
장기간	For a long period
순간적	instantaneous,momentary
사망	Death
항공기	An aircraft
특수성	Particularity, distinctiveness
초상화	A portrait, a picture
차선	A traffic lane
중단	interruption,suspension
조명	lighting,illumination
정지	stop,an interruption
명령어	Directive
극작가	A dramatist
국사	The history of a country
관심사	A matter of concern and interest
경제학	Economics
각오	Readiness or preparation
음주	Drinking (alcohol)
육상	On land, on the ground
연주	A musical performance
역사상	In history
변신	Disguise, transformation
확신	Conviction, firm belief
허락	Consent, assent, approval
출판	Publication, publishing
출발점	The starting point of a trip
지급	supply,pay
인종	A human race
시합	A contest,match
시일	time,days
세제	detergent,cleaning material
상징적	symbolic,emblematic
만점	Perfect score
독창적	Original
남북	North and south
입력	Power input
금고	A safe or strongbox
끼	A meal or a repast
꼴	Shape or form or appearance
여가	leisure,spare time
서양인	A Westerner
본사	Main office
물질적	Material
통과	Passage
체온	Body temperature
책임감	Feeling of responsibility
진로	A course,direction,path
잠수함	Submarine
소질	temperament,character
사무직	Working in the office not in the factory
백색	White
내달	Next month
회전	Revolution, rotation
차창	car/train window
적응	Adaptation
식생활	Dietary life
방바닥	room's floor
교육자	An educator
법적	Legal
도망	Escape
진료	Medical examination and treatment
자격증	A qualification certificate
추천	A recommendation
진동	vibration,shake
정반대	Direct opposition, the exact reverse
장애인	A handicapped person
사회학	Social science
원서	An application, a written request
역사학	The study of history
문밖	Outside the door
간접적	Indirect or mediate
가능	Possibility
참석자	Persons present
지진	Earthquake
장례	A funeral
인쇄	printing,typography
불이익	disadvantage,drawback
비판적	Critical
무관심	Indifference, unconcern
퇴직금	Retirement grants
전문직	Specialty job
육체적	Corporeal, of the flesh
위법	illegality,a breach of the law
수도꼭지	A faucet,tap
예보	forecast,predict
비행장	An airfield
귀가	Returning home
효도	Filial piety
타자기	A typewriter
진심	The whole heart, sincerity
직장인	A worker
종교적	Of religions
정기적	fixed,regular (time sth)
재학	To be in school, be attending school
위험성	riskiness,jeopardy
교내	Inside the school
강조	Emphasis or stress
후회	repentance,regret
즉석	instantly,impromptu
전시장	An exhibition hall
영남	The southeastern part of Korea
절약	thrift,savings,economy
동화책	A fairy tale
간호	Nursing or care
추측	Guess, conjecture
참석	Attendance, participation
진통	Labor pains, travail
양주	(hard) liquor
무용가	Dancer
최상	The best, the finest
유적지	Place where remains/cultural-historical remnants are
외갓집	one's mother's maiden home
양상추	Lettuce
식욕	appetite,desire
학력	Academic background, formal schooling
철학적	Philosophical
제삿날	Day of the ceremony
재활용	Recycling
입사	enter/join a company
사회자	President
다양성	Variety
기초적	Fundamental or basic
근교	Suburbs
국가적	National or state
통역	Interpreting
출퇴근	Go to and come from the office
조개	shellfish,clam
장모님	A man's mother in law
운반	conveyance,transport
기업인	Businessman
양옆	On both sides
양보	concession,compromise
산길	A mountain path,road
피곤	fatigue,exhaustion
초저녁	Early in the evening
초여름	Early summer
신체적	Physical
석사	Master
사립	Private
번지	Area of land
만화가	Cartoon artist
만세	10,000 years
전문점	Exclusive store
전구	An electric bulb
자연적	Natural
외제	Of foreign manufacture
강북	North of the river
감정적	Emotional
평상시	Normally
토론자	A debater, a disputant
식료품	Articles for food
내용물	Contents
교육비	Tuition or the cost of a school education
호실	Tells you the room number
특급	In a special class
치료법	A curative means
현대적	Modern (adj)
시대적	Of the times
초순	The first third of a month
대중적	Of the masses
고궁	An ancient palace
장모	A man's mother in law
예술적	Artistic
문학적	Literary
퇴원	Leaving the hospital
하순	The final third of the month
국민적	National or for citizens
입국	Entering a country
온돌	The korean under-floor heating system
야구장	Baseball field
국내선	Domestic airline
출입국	Entry into a country
복사기	Mimeograph
축구장	Soccer field
양력	The solar calendar
냉방	A cold or unheated room
약혼자	A fiance, an engaged person
분필	Chalk
약혼녀	A girl who is engaged
식품점	Grocery store
내후년	The year after next year
근본	The foundation or basis
외과	Surgery
저렇게	Like that
걔	Child
어떡하다	To take some measures, to manage somehow
쟤	That kid
어때	What do you think?
한둘	One or two
무어	What? 무엇
인천공항	Incheon international airport
경상도	Kyung-San-Do province (ulsan or kyungju)
첫	First
두세	Two or three (months)
저런	Such a, that sort of
몇십	In the tens
오랜	For a long time
지	since,from
킬로	Kilo
인분	How many people counter for at restaurants
외	Except, save for
엔	Yen (japanese)
번째	How many times
년도	Year
저렇다	Such a thing as that
조그맣다	Be tiny,small
사이좋다	Be on good terms with
사랑스럽다	Lovely
자랑스럽다	To be proud
밤늦다	It is late at night
걱정스럽다	Anxious or uneasy
조심스럽다	Cautious
내지	From A to B
어쩐지	() somehow, in a strange way ; () in combination with an ending giving a reason to place stress on the action of the verb
오래도록	For long, a long while
온통	Wholly, entirely
자꾸만	Repeatedly (emphasized)
해마다	Every year, each year
그다지	So much or to that extent
그만	That much or a little amount
깜빡	With a flash or twinkle
끝내	The end
마주	Face to face
하하	Ha ha ha ha ha
한꺼번에	All at once
가득	Full
정확히	Exactly
확실히	certainly,for sure
정말로	Really
당연히	Of course
분명	Obviousness
적당히	suitable,proper
간단히	Simply speaking
마구	continuously, without pause
근무하다	Work or labor
어쩌다	By chance, accident
담당하다	Take charge of
적용하다	To apply (sth to sth else)
마련되다	To be planned and arranged
수입하다	To import
생각되다	To come to think sth
먹히다	to be eaten,swallowed
조사하다	To examine,investigate
논의하다	Discussion
벗기다	Unclothe, undress
데려가다	Take with
맞서다	Stand opposite
말씀드리다	Speak (honor.)
많아지다	Become a lot
미워하다	Dislike
밤새다	To stay up all night
부러워하다	envy,be envious of
섞이다	To be mixed,blended
소리치다	To shout, yell
세워지다	To become erected
슬퍼하다	sorrow,feel sad
싫어지다	To become distasteful
앞서다	To go before, precede
얹다	Put on, place, lay, set
어두워지다	become/get dark
여쭈다	Tell a superior, inform
오가다	Come and go, keep going and coming
그려지다	Draw
가져다주다	Take something to someone
잘살다	To be affluent, well-off
자라나다	To grow up
적어지다	To become smaller
짧아지다	To become short
켜지다	To become turned on
읽히다	To get a person to read, to get a person to learn
작아지다	Become smaller
흘러나오다	Flow out, run, effuse
흘러가다	flow,run,drift along
내려다보다	Overlook
내려놓다	Set or put down
날아오다	Come flying
넓히다	Widen
넓어지다	Get wider
다녀가다	Drop in for a short visit
건너오다	To come across to this side of something
걱정되다	To become worried
가까워지다	Get closer
표현하다	To express, make known by saying
발표하다	To announce
발전하다	To develop, grow
계속되다	To continue
관련되다	Be connected or related to
결정되다	To become decided
연결되다	Connect, attach
전해지다	To be transmitted
행동하다	To act, behave
위치하다	To be located
생활하다	To live, make a living
활동하다	To be active, lead an active life
확대되다	To be magnified
이용되다	To be used
의심하다	To be suspicious, to doubt
허용하다	To permit, approve, grant, allow
판매하다	To sell
고민하다	Be in anguish or worried
답하다	Answer, reply
소개되다	To be introduced,presented
치료하다	To cure, heal, treat a patient
병들다	Get sick
계획하다	Plan or make a project
유행하다	To be in fashion, to be popular
심해지다	Become deep and serious
준비되다	To be ready
수출하다	To export
절약하다	To economize
소문나다	A rumor starts
대화하다	To converse
사과하다	To apologize
우승하다	To take first place
실수하다	To make a mistake
이혼하다	To get divorced
발음하다	Pronounce
야	0 (Word to get somebody's attention) Hey!! () impolite speech for 이다, to be
글쎄요	0 Now or well or let me see
어머	0 Oh my god!
와	0 Holy cow!
그렇지	0 So it is or that is right
아아	0 Oh-oh!
아니야	0 No, that's not the case
아뇨	0 No, nay
으응	0 Ugh!
발달	Development, growth
발견	Discovery
예상	Expectation, anticipation; forecast, preconception, pre-notion
비닐봉지	Plastic bag
팬티	Panties (male and female underwear)
초청장	An invitation (card)
마루	A wooden floor, floor, flooring
검정색	A large sum of money
가로	Width or breadth
재채기	sneeze,sneezing
교류	Interchange (cultural) ; alternating current (electrical)
합격	Success in an examination
김치찌개	Spicy cabbage soup
실패	Failure
어린이날	Children's Day (may th)
어린아이	A youngster, a child
감동	Agitate or stir up the emotions
메일	Mail
신고	A statement,declaration
비교	A comparison
인원	The number of persons
발생	) Birth ) development
글쓰기	Writing
배꼽	The navel
나뭇가지	A tree branch
나뭇잎	Tree leaves
결정	A decision or determination
오른발	The right foot
칭찬	Praise, admiration
수상	The prime minister
취소	Cancellation, annulment
슬픔	Sorrow
이것저것	This and that, one thing and another
후춧가루	Ground pepper
이튿날	The second day after
이웃집	The neighbor's house
왼발	The right foot
웃어른	one's elders
운전기사	The driver
우리말	Korean (language)
위쪽	The upper direction
위아래	Up and down
월드컵	World cup
이날	Today, this day
이곳저곳	Everywhere
콩나물	Bean soup
테스트	Test
일회용품	A product to be used only once
길거리	A street
해외여행	Foreign travel
진달래	Azalea
질	Quality, character
챔피언	Champion
참기름	Sesame oil
불빛	Fire light
밥솥	Pressure cooker for rice
발등	The instep of the foot
저녁때	Evening time
정	Feeling of attachment
종이컵	A paper cup
줄무늬	A stripe
앞쪽	The front, the fore part
어머님	Mother (respectful word)
여름철	Summertime
여	A woman, a girl
열흘	Ten days
오늘날	These days, nowadays
옛날이야기	An old story
노랫소리	A singing voice
온몸	The whole body
오피스텔	Office hotel (studio apt)
아버님	Father (respectful word)
씨름	Wrestling
앞길	The road ahead, outlook
알	An egg, spawn (fish)
안쪽	The inside, the inner part
양념	Spices and condiments
새소리	Bird voice,"chirp"
소시지	Sausage
소나기	A sudden rain shower
쇼	Show
송아지	A calf,baby cow
손뼉	The flat of one's hand
스님	A priest
술자리	A banquet
보람	worth,result
부끄러움	shame,disgrace
볼일	business,errand,engagement
세로	Length
생활환경	Life environment
몸무게	Body weight
미팅	Meeting
미디어	Media
발가락	A toe
받침	Support, prop
바위	A rock, a crag
밥그릇	A rice bowl
버튼	Button
버터	Butter
마중	Meeting, reception
모니터	Monitor
멋	Smartness
무더위	High humidity
네거리	Crossroads
단맛	A sweet taste
담요	A blanket
대학교수	University professor
대중문화	Pop culture
대중교통	Mass transportation
그다음	Next
그해	That year
꿈속	In a dream
꼭대기	The top
껍질	Skin or nutshell
개나리	A forsythia or a golden-bell tree
거짓	Fabrication or fiction
겨울철	The winter season
골프장	Golf course
골목길	An alley
고춧가루	Red pepper powder
공항버스	Bus to the airport
곳곳	Everywhere
교통사고	Traffic accident
국회의원	A member of the national Assembly
팩	Pack
플라스틱	Plastic
포스터	Poster
하품	Yawning
필름	Film
한동안	For quite a while
가이드	Guide
가슴속	one's heart feelings
지난번	Last time
장가	To get married
뒷산	The back side of a mountain
오래전	Since a long time before
옆방	The room next door
술잔	A glass for alcohol
술병	A bottle of alcohol
밤중	Midnight
갈비탕	Beef-rib soup
한잔	A drink of liquor
경험	Experience or undergo or suffer
대신	Instead of
보호	protection,shelter
사용	use,employ
특별	Be special, extraordinary
계산	Calculation
이사	House-moving
위반	Violation, infringement
집중	Concentration
제한	limits,bounds
음료	A beverage, a drink
증상	Symptoms
정신적	Mental
신용	confidence,trust
반장	Squad leader
전자	An electron
대문	A big gate
연구자	Researcher
역사가	Historian
선택	A choice
심리	A mental state
대기업	Big enterprise
전체적	entirely,generally
부처	Buddha
경제적	Economical
목사	A pastor
열차	Train
금지	Forbidden or prohibited
정식	Formality, due form
산소	Oxygen
부작용	reaction,side effect
과학적	Scientifically
장래	The future
유교	Confucianism
현지	The actual place, the very spot
확인	A check,confirmation
진출	An advance
정치적	Political
도중	On the way
담임	Charge, duty
덕분	Indebtedness
다수	A great number
각국	Each country
사용자	A user,consumer,employer
보고	report,information
수표	A check
교환	An exchange
형부	A husband of a girl's older sister
전공	Specialty
고교	High school
저축	savings,saving
신입생	A new student
규칙적	Be regular or systematic
줄기	A trunk, stem, stalk
체중	Body weight
출근	Going to work
운전자	The driver
취직	Employment, getting a job
유명	fame,celebrity status
외교관	A diplomat
신문지	Newspaper paper
외출	Going out, an outing
피시	PC, personal computer
신문사	Newspaper company
귀국	Returning to one's home country
사무	Office work
중요	importance,consequence
축하	Congratulation, celebration
식초	Vinegar
산속	The heart of a mountain
출입문	Door for exiting and entering
고속	High speed
친절	Kindness, goodness
졸업생	A graduate
입원	Hospitalization
감상	Appreciation
유학생	A foreign student
차남	one's second eldest son
일회용	For one time use
책가방	Book-bag
복사	Reproduction
박스	Box
환영	Welcome
한국적	Korean (adjective)
여대생	Female college student
녹음	Recording
자판기	Vending machine
인사말	Words of greeting
송편	Rice cake steamed over pine needles
부잣집	Rich man's house
카운터	Counter, where you pay
여고생	Female high school student
양배추	Cabbage
섭씨	Celsius
초보	Initial, first steps
점심때	Lunchtime
시부모	one's husband's parents
여직원	Female employee
독일어	German
주차	Parking
축구공	A soccer ball
복습	Reviewing
시아버지	one's husband's father
정리	arrangement,regulation,adjustment
싶다	want,hope
사십	forty
넷	four
다섯	five
마흔	Forty
삼	Three
서른	Thirty
셋	Three
스물	Twenty
십	ten
아흔	Ninety
여섯	Six
여든	Eighty
예순	Sixty
쉰	fifty
일흔	Seventy
칠십	Seventy
오십	Fifty
삼십	thirty
팔십	Eighty
육십	Sixty
이십	Twenty
구십	ninety
그분	That person (respectful)
저곳	That place over there
저것	That thing over there
저거	That thing over there
이분	Divide into two
이곳	This place, here
이것	This thing
그곳	That place
그것	That thing
그거	That thing
스무	twenty
다섯째	Fifth
다른	Different
셋째	The third
아무	anybody,everybody
것	A thing or an object
이렇다	Like this
어떠하다	To be how
맛없다	Bad flavor
그러면	If so or if that is the case
얘기하다	To tell a story
잠자다	Fall asleep
추다	To dance
않다	To not be, to not do
시작되다	To begin,start
준비하다	To prepare
약속하다	To make a promise
인사하다	To greet, say hello
여행하다	To travel
질문하다	Ask a person a question
선물하다	Give a gift
여보세요	Telephone HELLO
아	Oh dear
안녕	hello/goodbye
티브이	TV
이야기	Conversation, talk
요즈음	Recently, nowadays
점심시간	Lunchtime
오랜만	After a long time
샤워	Shower
말씀	Speech
나중	The last, the latter part
노트	A note
그날	That day or that same day
걱정	Worry
고등학생	High school student
구경	An enjoyable sight or spectacle
필요	Need, requirement,necessity
공부	Study
결혼	Marriage
부모	Parents
설명	Explanation
시작	The beginning
졸업	Graduation
수영	Swimming
운전	Driving
중학생	Middle school student
감사	Thanks
세수	Hand-washing
도착	Arrival
적절하다	right, proper, suitable (4ㅈ)
최고	The best
강하다	To be strong or powerful
살	Years old
살려주다	save, rescue
비교적	relatively, comparatively
비결	secret (of/to), key (to)
몸매	figure, form, body
황금 비율	golden ratio ; golden proportion
동네사람들	people of this village
광경	sight, scene, spectacle
골목	alley
잇따르다	one after the other
도난 사고	a robbery case
실종	disappear, be[go] missing
외모	(outward) appearance, look(s)
도시 점령	capture of a city
예능	artistic talents, artistic abilities
홀딱	completely, madly
봄	spring, springtime
버티다	endure, last, hold out
시기	opportunity, chance
기운	energy, vitality, vigor, strength
우주	space, universe, the cosmos
넘어지다	fall (down), trip
직접	personally, in person, directly, firsthand
자막	subtitles, caption
끼다	be caught (in/between), get jammed (in)
유난히	particularly, especially
차이	difference, distinction, gap, disparity
원망	resentment, blame
장관	minister, secretary
집단	group, body
늘리다	to increase, add/ to extend
과거	the past
수준	level, standard
분야	area, field, branch
제품	products, goods
자식	children, sons and daughters
대부분	the greatest part (of), the majority (of)
단체	organization, association, party
전혀	entirely,utterly,completely
대회	A great meeting
방향	direction, way
꽃	Flower
조건	condition, stipulation, terms
기관	An engine or a machine
낳다	To give birth
도시	City
가치	value, worth
현재	the present
세기	Century
차분하다	calm, cool, relaxed
계획	A plan or a project
매우	Very
걸리다	To be hung up or suspended
마시다	To drink
터	site, lot, ground
결국	eventually, in the end, finally
체력	strength, stamina, (physical) fitness
과학	Science
년대	Year
정신	mind,spirit
부서지다	break, be broken, smash
광고	Advertisement
애	A baby, or a slightly derogative word for person
묶다	tie, bind, knot
활동	activity, move, be active
거의	Almost or nearly
변화	change, transformation
환경	environment
현실	actuality, reality
최근	Recently
상황	state of things
세상	The world, society
밖	The outside
정치	Politics
이미	Already
의미	a meaning, significance
못보다	overlook, fail to notice, pass over
사귀다	date, go out (with)
자리잡다	take one's seat
자꾸	repeatedly, again and again
속이다	deceive, cheat, trick
외롭다	lonely, solitary, lonesome
질투	jealousy, envy
괜하다	be useless, fruitless, futile
이제야	finally, eventually, at last
처럼	like as, as if, as though
당연하다	natural, reasonable, fair
홀로	alone, by oneself, single-handedly
후면	the back side, reverse side, rear
인연	connection, relationship, tie
다가오다	approach, come closer
욕심	greed
버릇	Habit ; manners
기온	temperature
지도	guidance, instruction
계약	Contract
떼다	take off, remove, detach
신	joy, delight ; shoes ; god
무조건	Unconditional
때마다	every time
부터	from
반복하다	repeat, repetition
어떻다	how,what.. do you think of
아파하다	be in pain, hurt
매번	each and every time
말버릇	one's way of talking
따다	pick, pluck ; open
꺼지다	be extinguished, be blown out
자랑하다	boast, brag (about)
입맞춤	kiss
그러다	and so, and then, well
떠들다	talk, chat, make noise, clamor
헤어지다	break up ; split up
맘	heart (mind)
도대체	what in the world
내다	to make something come up [occur]
둘이	two people
쓸쓸하다	lonely, solitary, lonesome
그대	you, yours
다정하다	kind, friendly
역사	History
서다	To stand
예술	Art, an art
경제	Economy
사다	To buy, purchase
교육	Education
과정	Process ; course
새롭다	To be new,novel
쓰다	To write ; to use
장교	officer, commissioned officer
지역	An area, region
나타나다	Come out, appear
후	After
내용	content, substance
그런데	But or however
국가	A state or a nation
정부	Government
그래서	so, therefore, for that reason
어느	which
위	The upper part, above
이러하다	Be this way, be like this
다음	Next
나다	be born ; grow, sprout ; occur
함께	Together, with
당기다	tug, yank, pull
좀	A little
다	All, everything
정도	grade,degree
이런	Such, like this
어떤	What kind of, what sort of
데	Place, point, location
그렇다	That is right or yes.
놀라다	be surprised, be amazed at
직업상	occupational, by trade
경계	alert, be on guard, vigilance
수단	means, way, method
꽉	tight(ly), fast ; fully, firmly
지니다	keep, carry, possess
떨어지다	fall, drop, slip
이론적	theoretical
우연히	by chance, accidentally
신다	put on, slip on, wear
나아가다	advance, proceed, go forward
사	death
빼다	subtract, take sth from sth
불리다	be called, be named
줄곧	continuously, constantly
들르다	stop by, drop in, come by
결과	result, outcome
때문에	because of, on account of
쓰러지다	fall, collapse
건네다	hand (over), pass
심부름	errand, run an errand
쏟아지다	pour
낮추다	lower, drop, bring down
소중히	Cherish
대량	mass
젖다	get[be] wet[drenched]
나아지다	improve, become [get] better
무리	group, crowd, bunch
낫다	recover (from), get well
뛰다	run, dash
비다	empty, vacant
세다	strong, powerful ; count (up)
이빨	tooth
도덕적	ethical, moral
침실	bedroom
재촉하다	hurry, press, rush, urge
뒤지다	go through, rummage, search through
의식	one's sense, consciousness
자극하다	stimulate, irritate ; prompt
들여다보다	look in, peek
끄다	put out, extinguish
중간	middle, center
무사하다	safe (and sound), unharmed
놓아두다	let somebody be, leave alone
오르다	climb, ascend
정리하다	arrange, organize
잠자리	bed
어울리다	socialize (with), associate (with)
욕실	bathroom, bath
유머	humor, wit
우습다	funny, humorous, amusing (3)
내려지다	be taken[brought] down, be lowered
문장	sentence
흐려지다	cloud, blur
꺼내다	pull, take out
기울이다	lean, tilt, tip
평범하다	be ordinary, common, average
비하다	compare
놀다	play, frolic
대로	main street, main road
달려오다	come running, rush
함정	trap, snare, pit
정체	identity
예상하다	expectation, anticipation
엷다	pale, faint, light
발자국	footprints, tracks
공격	attack, aggression, offensive
결코	never
짙다	deep, dark, thick
잠기다	sink, be swamped, be flooded
터무니없다	absurd, ridiculous
벌리다	open, spread
수행하다	conduct, accomplish, carry out
어리석다	foolish, stupid, silly
청하다	ask (for), request
우수	excellent, superb, outstanding
동포	compatriot, countryman
위선	hypocrisy
끌어안다	hug, cuddle, hold in one's arms
입구	entrance, entryway, mouth (into)
되찾다	recover, regain, take back
뒤따르다	follow, go after
뛰어들다	run, rush, dash
힘차게	forcibly
복도	corridor, hallway
여우	fox
진지하다	serious, earnest
살펴보다	examine, search, check
몰래	secretly, in secret
상처	injury, abrasion, wound
뜰	yard, garden
오직	only, soley, alone
초조하다	restlessness, nervousness, anxiety
올려놓다	put (on)
잡히다	be caught, be grabbed
어딘가에	somewhere
끼우다	put, insert
깎다	peel, shave ; cut, trim
늘어나다	stretch ; grow, increase
줄	string, cord, line, rope
암시	hint, imply, allude (to)
부끄럽다	ashamed, embarassed ; bashful
자체	itself
더하다	increase, add
실험	experiment, test
제거하다	remove, eliminate, get rid of
정확하다	accurate, correct, precise
빼앗기다	lose, be deprived of
가사	lyrics
이루어지다	be attained, fulfilled ; be made up of
해초	seaweed
밝다	bright, light, brilliant
흙	ground, earth, dirt
제안하다	suggest
날다	fly
지시하다	direct, command, order
전날	the day before, the previous day
동의하다	approval, agreement, consent
택하다	choose, select, pick
깨어지다	be broken
분량	amount, quantity, dose
고통	pain, agony, torment
고려	consideration
신중하다	caution, prudence, discretion
남기다	leave, save, set aside
유혹	temptation, lure, enticement
숨기다	hide, conceal (ㅅ)
화려하다	fancy, showy, splendid
성실하다	faithful, sincere, earnest
타오르다	blaze, burst into flames
자연	nature, mother nature
회견	interview, press conference
지난날	the past, the old days
손질하다	repair, fix, mend
갖추다	prepare, get ready
형태	shape, form
곱다	beautiful, lovely, nice
소년	boy
호남	rugged man
행위	act, action, deed
알아내다	find, discover, locate
돌보다	look after, take care of
신용카드	credit, card
일종	kind (of), sort (of)
안되다	sorry (that) ; must not do (with space)
의욕	will, drive, motivation
해석하다	interpret (sth as sth), read (sth as sth)
몇해	how many years
별명	nickname
지식	knowledge, know-how
유도하다	induce (sb to do)
불구하다	disregard, not be deterred by
실시하다	implementation, enforcement
행하다	do, act, carry out, perform
풀리다	come untied, come untangled
어리다	young, little
서류	document, papers
성격	character, personality
절대적	unconditional, absolute
조르다	pester, nag
차례	order, turn
번거롭다	cumbersome, inconvenient
매달다	hang, suspend
끈	string, twine, cord
찌꺼기	residue, sediment
따로따로	separately, individually
다루다	treat, handle, deal with
머리칼	hair (on head)
기록	record, document, write down
뒤	back, the rear
순서	order, sequence, procedure
일기	diary, journal
종합하다	put together, piece together
관계자	the related parties
감추다	hide, conceal
드러내다	show, reveal, expose
해결하다	resolve, solution
벌금	fine, penalty
가하다	exert, inflict, impose
임신하다	pregnancy, be pregnant
